Group name,Event name,Day of week,Date,Start time,End time,Event URL
OzBerry - Sydney's Monthly IoT Maker Space,"Weekday Maker Download - What it means to ""Make"" today",Thursday,31/03/2016,6:30 PM,9:00 PM,http://www.meetup.com/OzBerryPi/events/229110906/
HealthTech Sydney,Innovation KickStart at Digital Health Show,Saturday,2/04/2016,12:00 PM,4:45 PM,http://www.meetup.com/Health-Tech-Sydney/events/229337273/
Sydney FinTech Startups Meetup,Q&A with GM Strategy & Planning at ANZ - Patrick Maes,Monday,4/04/2016,6:00 PM,8:00 PM,http://www.meetup.com/Sydney-FinTech-Startups/events/229474456/
Australian OpenStack User Group,April Sydney Meetup,Tuesday,5/04/2016,6:00 PM,9:00 PM,http://www.meetup.com/Australian-OpenStack-User-Group/events/229602001/
Amazon Web Services - Sydney User Group,AWS Meetup,Wednesday,6/04/2016,6:00 PM,9:00 PM,http://www.meetup.com/AWS-Sydney/events/229400102/
"All Things API: REST, Cloud, Integrations, Mashups & SaaS",Caching and Securing APIs For Enhanced Performance,Wednesday,6/04/2016,6:00 PM,8:00 PM,http://www.meetup.com/All-Things-API/events/229294594/
HealthTech Sydney,Digital Health Innovation,Thursday,7/04/2016,5:30 PM,8:30 PM,http://www.meetup.com/Health-Tech-Sydney/events/229825305/
Australian OpenStack User Group,Melbourne Meetup - NFV,Thursday,7/04/2016,6:00 PM,9:00 PM,http://www.meetup.com/Australian-OpenStack-User-Group/events/230007553/
HealthTech Sydney, Digital Health Innovation by HISA & HealthTech Sydney,Thursday,7/04/2016,6:00 PM,8:00 PM,http://www.meetup.com/Health-Tech-Sydney/events/229836366/
Agile@Scale,Dave Martin - The fractal organisation: How geometry can help you scale agility,Tuesday,12/04/2016,6:00 PM,8:00 PM,http://www.meetup.com/Agile-Scale/events/229600112/
Sydney Puppet User Group,April's Puppet User Group @ Optiver,Tuesday,12/04/2016,6:00 PM,9:00 PM,http://www.meetup.com/Sydney-Puppet-User-Group/events/227300170/
Ruby on Rails Oceania Sydney,Rorosyd - Ruby or Rails User Group Sydney,Tuesday,12/04/2016,7:00 PM,10:00 PM,http://www.meetup.com/Ruby-On-Rails-Oceania-Sydney/events/228965410/
